Gene		 Terms
SSC5D:		 GO:0001968 GO:0005044 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0043236 GO:0050840 
FSD2:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 
SH3PXD2B:	 GO:0005515 GO:0005515 GO:0010314 GO:0032266 GO:0042169 GO:0080025 GO:0070273 GO:0016176 GO:0032266 GO:0035091 GO:0080025 GO:0010314 
FAM92A:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 
ZBTB7C:		 GO:0000981 GO:0003674 GO:0003676 GO:0046872 
MACROD2:	 GO:0016798 GO:0019213 GO:0140293 
ZC3H12D:	 GO:0004519 GO:0005515 GO:0046872 
FRMD3:		 GO:0008092 
PTPDC1:		 GO:0008138 GO:0004725 
PIPSL:		 GO:0016307 
DYTN:		 GO:0008270 
HFM1:		 GO:0003676 GO:0003678 GO:0005524 
ZNF320:		 GO:0000981 GO:0003677 GO:0005515 GO:0005515 GO:0046872 
WDR27:		 GO:0005515 
NBAS:		 GO:0000149 
TARSL2:		 GO:0003674 GO:0004829 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0004829 GO:0004829 
TMEM218:	 GO:0005515 GO:0005515 GO:0005515 
TESPA1:		 GO:0005102 
SMCO3:		 GO:0005515 GO:0005515 
HYKK:		 GO:0047992 GO:0016301 
HMX2:		 GO:0000981 GO:0000981 GO:0043565 
CCDC66:		 GO:0005515 GO:0005515 GO:0008017 GO:0042803 
TYW5:		 GO:0000049 GO:0005506 GO:0016706 GO:0016706 GO:0042803 GO:0102524 GO:0000049 GO:0016706 
MYBPHL:		 GO:0003674 GO:0005515 
DENND3:		 GO:0017112 
CLPSL1:		 GO:0008047 
DCDC2B:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 
FUOM:		 GO:0016857 GO:0036373 GO:0042806 GO:0042806 GO:0016857 
SSPO:		 GO:0030414 
OR2M5:		 GO:0004930 GO:0004984 
VWA8:		 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0016887 
GPX6:		 GO:0004602 GO:0004602 GO:0004601 
SBNO1:		 GO:0003674 
