MEIOC	GO:0006302 GO:0007130 GO:0007286 GO:0048599 GO:0051310 GO:0051729 GO:0070192 GO:0007144 GO:0048255 GO:0007141 
CCDC66	GO:0001578 GO:0001895 GO:0046548 GO:0050908 GO:0060271 GO:1903564 
TYW5	GO:0006400 GO:0031591 GO:0031591 GO:0055114 GO:0031591 
MYBPHL	GO:0001701 GO:0008150 
DENND3	GO:0008333 GO:0044257 
CLPSL1	GO:0007586 GO:0016042 GO:0043085 GO:0032094 
FUOM	GO:0006004 GO:0045665 GO:0060180 GO:0006004 GO:0036065 
TMEM131L	GO:0016055 GO:0033088 GO:0090090 GO:0090090 
SBNO1	GO:0006355 GO:0008150 
CRPPA	GO:0007411 GO:0008299 GO:0035269 GO:0035269 GO:0035269 
GSAP	GO:0030162 GO:1902004 
WDR91	GO:0043551 GO:0045022 GO:0045022 GO:1903362 GO:0006511 
PRSS37	GO:0006508 GO:0007339 GO:0016477 GO:0051604 GO:0070613 GO:1905516 GO:2000344 GO:2000344 GO:1905516 
CDC14C	GO:0035335 GO:0000226 GO:0032467 GO:0000278 GO:0071850 GO:0007096 GO:0060271 
SPATA48	GO:0008150 
PMS2P1	GO:0016310 GO:0016446 GO:0006298 
EME2	GO:0090305 GO:0090305 GO:0000712 GO:0031573 GO:0006302 GO:0031297 
XIRP2	GO:0003281 GO:0008150 GO:0030036 GO:0045216 GO:0055008 
POTEF	GO:0001895 
FITM1	GO:0010890 GO:0034389 GO:0034389 GO:0008654 GO:0019915 GO:0034389 
VPS37C	GO:0016197 GO:0016236 GO:0019058 GO:0032509 GO:0036258 GO:0039702 GO:0075733 GO:0006612 GO:0043162 GO:0006623 
CCDC151	GO:0003341 GO:0007368 GO:0036158 GO:1902017 
CFAP69	GO:0007283 GO:0007608 GO:0030154 GO:0042048 GO:1902093 GO:1905516 GO:1990834 GO:1990834 GO:0042048 GO:1902093 
PSMB11	GO:0000165 GO:0000209 GO:0002223 GO:0002479 GO:0006508 GO:0006521 GO:0010972 GO:0016579 GO:0031145 GO:0031145 GO:0031146 GO:0033209 GO:0038061 GO:0038095 GO:0043161 GO:0043161 GO:0043161 GO:0043374 GO:0043488 GO:0043687 GO:0050852 GO:0055085 GO:0060071 GO:0061418 GO:0070498 GO:0090090 GO:0090263 GO:1901990 GO:1902036 GO:0010498 GO:0043161 GO:0010499 
PSD	GO:0007165 GO:0031175 GO:0032012 
KRBA1	GO:0008150 
HTR3E	GO:0007210 GO:0007268 GO:0007165 GO:0034220 GO:0050877 GO:0042391 GO:0007268 
CNOT1	GO:0000122 GO:0000289 GO:0006977 GO:0007275 GO:0010606 GO:0017148 GO:0033147 GO:0035195 GO:0035195 GO:0048387 GO:0060213 GO:0060213 GO:0061014 GO:0090503 GO:1900153 GO:2000036 GO:2000036 GO:0017148 
CARNS1	GO:0006548 GO:0035499 GO:0035499 GO:0035499 GO:0035499 
MEGF11	GO:0010842 GO:0034109 
CDHR4	GO:0007156 GO:0007155 
DPPA5	GO:0007275 GO:0010468 GO:0010468 
TMEM150B	GO:0006914 GO:0010506 
CCDC88B	GO:0001819 GO:0042102 GO:0042832 GO:0050870 GO:0030705 GO:0031122 
GMNC	GO:0006270 GO:0007049 GO:0008283 GO:0060271 
LRCOL1	GO:0007586 GO:0016042 GO:0043085 GO:0032094 
NKX2-6	GO:0008284 GO:0021854 GO:0030154 GO:0035050 GO:0035050 GO:0043066 GO:0043586 GO:0045944 GO:0048565 GO:0055014 GO:0055015 GO:0060037 GO:0060039 GO:0030154 GO:0045944 
USP17L3	GO:0006511 GO:0006915 GO:0016579 GO:0042981 
IZUMO1R	GO:0007155 GO:0007338 GO:0007342 GO:0035036 GO:0007155 GO:0007342 GO:0035036 
FAM83G	GO:0030509 
OR14I1	GO:0050911 GO:0007608 GO:0007186 
PALM3	GO:0001960 GO:0008063 GO:0032496 GO:0008063 GO:0032496 GO:0001960 
RBMY1B	GO:0006397 GO:0007283 GO:0008380 GO:0008584 GO:0048026 
PGP	GO:0006114 GO:0006650 GO:0016311 GO:0035335 GO:0045721 GO:0006114 GO:0016311 GO:0006650 
OR5H15	GO:0050911 GO:0007186 GO:0007608 
TMEM8B	GO:0007160 GO:0007346 GO:0040008 
BTBD17	GO:0009615 GO:0045071 
OR5K3	GO:0050911 GO:0007186 GO:0007608 
POM121B	GO:0051028 GO:0006606 
CCDC182	GO:0008585 
NUPR2	GO:0000122 GO:0006974 GO:0007050 GO:0008285 GO:0009267 GO:0071157 GO:0008285 GO:0045786 
TRABD2B	GO:0006508 GO:0016055 GO:0030178 GO:0032461 GO:1904808 GO:0030178 
HELT	GO:0001967 GO:0007417 GO:0009791 GO:0010259 GO:0010467 GO:0021858 GO:0035264 GO:0045944 GO:0050767 GO:0030154 GO:0009952 GO:0000122 
FABP12	GO:0019433 
GRXCR2	GO:0007605 
RBFOX3	GO:0006397 GO:0008380 GO:0000381 GO:0007399 
TCAF2	GO:0010360 GO:0030335 GO:0090314 GO:0010360 GO:0090314 
CFAP73	GO:0003341 GO:0036159 GO:2000574 
MFSD2B	GO:0006869 GO:0008643 GO:0055085 GO:0071702 
SDHAF1	GO:0034553 
MGAT4D	GO:0007283 GO:0030154 GO:0060051 GO:0006487 
WIPF3	GO:0007275 GO:0007283 GO:0030154 GO:0038096 GO:0006897 GO:0030048 GO:0000147 GO:0051666 
TLCD2	GO:0007009 GO:0055091 GO:0071709 GO:0097035 
URAD	GO:0006144 GO:0008150 GO:0019428 GO:0019628 
PCARE	GO:0007601 GO:0050896 GO:1903546 GO:0035845 
OOEP	GO:0008150 
GGT3P	GO:0006412 GO:0006508 GO:0006750 GO:0008150 GO:1901750 GO:0007283 GO:0031179 GO:0050727 GO:0032496 GO:0034612 GO:0002682 GO:0032355 GO:0006751 
GLTPD2	GO:1902389 GO:0035627 GO:0120009 
OR4C46	GO:0050911 GO:0007186 
CAPN8	GO:0007586 GO:0006508 
OR5H14	GO:0050911 GO:0007608 GO:0007186 
MOXD2P	GO:0055114 GO:0006589 GO:0042421 GO:0042420 
OTOL1	GO:0045299 GO:0051260 GO:0030198 
FBLL1	GO:0001835 GO:1990258 GO:0000494 GO:0031167 
EPOP	GO:0006357 GO:0035616 GO:0048863 GO:0048663 
SMCHD1	GO:0006302 GO:0009048 GO:0043584 GO:0043584 GO:0045739 GO:0060820 GO:0060821 GO:0070868 GO:2000042 GO:2001034 
CASTOR2	GO:1904262 GO:1904262 GO:1903577 GO:1902531 
MSGN1	GO:0007379 GO:0030154 GO:0045944 GO:0001756 GO:0001707 
ARHGAP42	GO:0003085 GO:0007165 GO:0035024 GO:0090630 GO:1904694 
MYMK	GO:0007517 GO:0007520 GO:0007520 GO:0014905 GO:0045026 GO:1904206 
NCF1B	GO:0043085 GO:0055114 GO:0045730 GO:0006801 
LILRA5	GO:0043410 GO:0045087 GO:0050718 GO:0050718 GO:0050729 GO:0050729 GO:0050867 GO:0051928 GO:0061098 GO:1904469 GO:1904469 GO:2000666 GO:2000778 GO:2000778 GO:2001181 GO:2001183 
CCDC69	GO:0051255 
UNC119B	GO:0042953 GO:0060271 GO:0042953 GO:0007399 GO:0060271 
WTIP	GO:0001666 GO:0007010 GO:0022604 GO:0030030 GO:0035195 GO:0035331 GO:1903507 GO:2000637 GO:0035331 GO:0001666 GO:2000637 GO:0007010 
NKX6-3	GO:0045944 GO:0030154 GO:0045944 
RIMBP3C	GO:0008150 GO:0007286 GO:0009566 GO:0007274 
ACOD1	GO:0002760 GO:0006952 GO:0006954 GO:0007566 GO:0032088 GO:0032480 GO:0034136 GO:0034144 GO:0035458 GO:0045824 GO:0050728 GO:0071219 GO:0071222 GO:0071222 GO:0071346 GO:0071347 GO:0071356 GO:0071393 GO:0072573 GO:2000379 GO:0019679 GO:0006952 
LIPT2	GO:0009249 GO:0034641 GO:2000376 GO:0009249 
ASB14	GO:0016567 GO:0035556 GO:0043687 
RASSF10	GO:0007165 GO:0050769 GO:2000179 
PCNX2	GO:0008150 
CCDC85C	GO:0021987 
SAC3D1	GO:0051301 GO:0051225 GO:0051298 
OR5H1	GO:0050911 GO:0007608 GO:0007186 
RGPD3	GO:0043547 GO:0006607 
OR5B21	GO:0050911 GO:0007608 GO:0007186 
SHISA7	GO:0007613 GO:0098962 GO:1900273 GO:1904717 GO:0048172 GO:2000311 
A6NLC8	GO:1903508 GO:0051123 
C2CD4B	GO:0002528 GO:0002675 GO:0030155 
SIGLEC16	GO:0032755 GO:0045087 GO:0098740 GO:1900426 
FIGNL2	GO:0051013 GO:0031122 GO:0010569 
FAM170B	GO:0080154 GO:2000344 GO:2000344 
OR5K4	GO:0050911 GO:0007186 GO:0007608 
DBX1	GO:0021521 GO:0006357 GO:0021515 
ANXA2P2	GO:0043086 GO:0043086 GO:0051480 GO:0070588 GO:0001934 GO:0042730 GO:0052405 GO:0032804 GO:0052362 GO:0001921 GO:0044090 GO:0003417 GO:0060956 GO:0031214 GO:1905581 GO:0031340 GO:0044794 GO:0051290 GO:0044147 GO:0010755 GO:0048146 GO:0051928 GO:0036035 GO:1905602 GO:0001765 GO:1905597 GO:0032332 GO:0030199 GO:0001525 GO:0006900 GO:1903902 GO:0072659 GO:1905599 
OR4C45	GO:0050911 GO:0007186 
IFITM5	GO:0001701 GO:0030282 GO:0030500 GO:0060349 GO:0060349 GO:0030282 
OR2AT4	GO:0050911 GO:0070374 GO:0007186 
TTLL13P	GO:0018095 
SLC38A8	GO:0006814 GO:0003333 
DHRS7C	GO:0055114 GO:0010880 
ENO4	GO:0006096 GO:0008150 
USP27X	GO:0006511 GO:0016579 GO:0043065 GO:0050821 GO:0070536 GO:0071108 
TTLL8	GO:0018094 GO:0018094 
NCBP2L	GO:0045292 GO:0000398 
ARHGAP32	GO:0043547 GO:0051056 GO:0007264 
DISP2	GO:0007224 
SRRM4	GO:0000381 GO:0000381 GO:0006397 GO:0007399 GO:0007605 GO:0008380 GO:0030154 GO:0043484 GO:0043484 GO:0006397 GO:0042551 
SOBP	GO:0007605 GO:0007626 GO:0042472 GO:0050890 GO:0090102 
POM121C	GO:0006110 GO:0006406 GO:0006406 GO:0006406 GO:0006409 GO:0016032 GO:0016925 GO:0019083 GO:0060964 GO:0075733 GO:1900034 GO:0006606 
LINC00473	GO:0006351 
WASHC1	GO:0006887 GO:0010507 GO:0015031 GO:0016197 GO:0022617 GO:0030335 GO:0031274 GO:0031396 GO:0034314 GO:0034314 GO:0042147 GO:0042147 GO:0043553 GO:1990126 
A2ML1	GO:0010951 GO:0010951 GO:0052548 
CD300LB	GO:0045087 GO:0050776 
CLCA1	GO:0006508 GO:0006816 GO:0034220 GO:0071456 GO:1902476 
EFCAB7	GO:0042307 GO:0045944 GO:1903569 
SFI1	GO:0000086 GO:0010389 GO:0010923 GO:0097711 
DDX11L8	GO:0006139 GO:0032508 GO:0034085 
GABRR3	GO:0007214 GO:0007268 GO:1902476 GO:0007165 GO:0050877 GO:0007268 GO:0042391 GO:0034220 
NEURL1B	GO:0007219 GO:0016567 GO:0070086 GO:0070086 
CENPX	GO:0000712 GO:0031297 GO:0031398 GO:0034080 GO:0036297 GO:0051301 GO:0051382 GO:0031297 GO:0000712 
GNAT3	GO:0006457 GO:0007186 GO:0007193 GO:0035094 GO:0050917 GO:0001580 GO:0050916 GO:0007188 
HMSD	GO:0002253 GO:0010951 
NOTO	GO:0001947 GO:0006357 GO:0009880 GO:0009953 GO:0030903 GO:0044458 GO:1902017 GO:0007417 GO:0006357 GO:0030182 
KRTAP9-7	GO:0031424 
BBIP1	GO:0015031 GO:0060271 GO:0097500 
SMTNL1	GO:0045907 GO:0097756 GO:0030036 GO:0045907 
USP17L5	GO:0006511 GO:0006915 GO:0042981 GO:0016579 
LGALS16	GO:0006915 GO:0070234 
CSKMT	GO:0006479 GO:0018023 GO:0018026 GO:0018027 GO:0006479 
KRTAP16-1	GO:0031424 
KRTAP9-6	GO:0031424 
NCF1C	GO:0043085 GO:0055114 GO:0045730 GO:0006801 
HEPACAM2	GO:0007098 GO:0051301 GO:0007098 
BECN2	GO:0006914 GO:0006914 GO:0008333 GO:0008333 GO:0042593 GO:1990172 GO:1990172 GO:0000045 GO:0045324 GO:0006995 GO:0032258 
MEI4	GO:0006310 GO:0007129 GO:0007283 GO:0042138 GO:0048477 GO:0007129 GO:0042138 GO:0007283 GO:0048477 
WASH4P	GO:0016197 GO:0034314 GO:0042147 
KRTAP29-1	GO:0031424 
GRXCR1	GO:0007605 GO:0010923 GO:0022900 GO:0045454 GO:0060118 GO:0060119 GO:0060122 
